Title,Description,Status,Priority,Project Title,Assignee,Reviewer,Start Date,End Date,Due Date
Systematic,Recusandae vel qui dicta.,started,medium,Mobile,Dewayne Heller,Damien Crooks,2020-10-02 12:00:00 -1200,2020-10-25 12:00:00 -1200,
Value Added,Facilis quia est enim.,started,medium,Mobile,Erwin Harris,Thurman Hamill,2020-10-02 12:00:00 -1200,2020-10-22 12:00:00 -1200,
Interface,Deserunt ipsa impedit aperiam.,started,medium,Mobile,Erwin Harris,Vincent Murazik,2020-10-12 12:00:00 -1200,2020-10-24 12:00:00 -1200,
Programmable,Cupiditate assumenda mollitia voluptas.,started,high,Mobile,Erwin Harris,Kelly Gislason,2020-10-07 12:00:00 -1200,2020-10-19 12:00:00 -1200,
Portal,Vel sint itaque nihil.,completed,high,Mobile,Alanna Aufderhar,Dewayne Heller,2020-10-13 12:00:00 -1200,2020-10-25 12:00:00 -1200,
Visionary,Voluptas quia alias ut.,completed,medium,Mobile,Jenell Adams,Damien Crooks,2020-10-01 12:00:00 -1200,2020-10-23 12:00:00 -1200,
National,Nostrum rerum enim ad.,completed,medium,Mobile,Damien Crooks,Thurman Hamill,2020-10-07 12:00:00 -1200,2020-10-23 12:00:00 -1200,
Knowledge Base,Cum numquam inventore cupiditate.,started,high,Mobile,Erwin Harris,Erwin Harris,2020-10-11 12:00:00 -1200,2020-10-24 12:00:00 -1200,
Interactive,Laborum repellat quia quisquam.,completed,medium,Mobile,Kelly Gislason,Damien Crooks,2020-10-02 12:00:00 -1200,2020-10-27 12:00:00 -1200,
Attitude,Explicabo minus cupiditate sit.,closed,low,Context Sensitive,Thurman Hamill,Vincent Murazik,2020-10-12 12:00:00 -1200,2020-10-21 12:00:00 -1200,
